%
Project ID	saudardalsstifla
Sounding ID	6
Zero values	2442.8 27492.0 2051.0 2476.5 27468.0 2050.6
#
Depth	ROP	Feed force	U2	QC	FS	Friction Ratio
2.51	18.8	11.5	136.69	7.237	71.05	0.0
2.52	19.3	11.5	135.6	7.274	70.09	0.0
2.53	19.6	11.5	134.55	7.306	70.05	0.0
2.54	19.2	11.6	133.65	7.338	70.4	0.0
2.55	19.1	11.6	132.55	7.349	70.8	0.0
2.56	19.3	11.7	131.75	7.347	70.95	0.0
2.57	19.5	11.9	132.15	7.379	71.05	0.0
2.58	19.8	12.1	132.94	7.464	71.34	0.0
2.59	20.0	12.2	133.44	7.513	71.7	0.0
2.60	20.1	12.2	133.5	7.526	72.0	0.0
2.61	20.2	12.3	133.15	7.542	71.75	0.0
2.62	20.1	12.4	132.9	7.548	71.15	0.0
2.63	20.2	12.5	132.94	7.565	70.59	0.0
2.64	20.2	12.4	132.6	7.574	70.7	0.0
2.65	20.1	12.3	131.5	7.521	71.34	0.0
2.66	20.1	12.1	130.3	7.391	72.0	0.0
2.67	20.5	11.9	128.69	7.193	72.45	1.0
2.68	20.1	11.7	126.4	7.017	72.4	1.0
2.69	20.6	11.6	123.8	6.872	72.05	1.0
2.70	20.4	11.6	121.7	6.677	71.95	1.0
2.71	20.4	11.5	120.3	6.477	72.15	1.0
2.72	19.7	11.5	118.7	6.332	72.59	1.0
2.73	20.0	11.5	117.3	6.241	73.3	1.0
2.74	20.3	11.5	116.45	6.151	74.09	1.0
2.75	20.4	11.6	115.95	6.06	74.8	1.0
2.76	19.8	11.7	115.9	6.01	74.9	1.0
2.77	20.3	11.8	116.3	5.996	74.0	1.0
2.78	19.9	11.9	116.95	6.006	72.59	1.0
2.79	20.3	12.1	117.65	6.033	71.5	1.0
2.80	20.0	12.3	118.3	6.052	70.55	1.0
2.81	20.0	12.4	119.2	6.069	69.59	1.0
2.82	20.1	12.5	120.05	6.086	68.05	1.0
2.83	20.1	12.4	120.05	6.083	65.9	1.0
2.84	18.9	12.0	119.35	6.007	63.85	1.0
2.85	18.9	11.6	116.5	5.821	61.5	1.0
2.86	18.4	11.3	111.6	5.574	58.85	1.0
2.87	18.4	11.1	107.6	5.306	56.35	1.0
2.88	17.9	10.8	105.1	5.059	54.45	1.0
2.89	18.7	10.5	102.4	4.872	52.95	1.0
2.90	18.9	10.2	98.5	4.688	51.8	1.0
2.91	18.9	9.7	94.65	4.421	51.05	1.0
2.92	18.8	9.4	91.15	4.083	50.1	1.0
2.93	18.6	9.2	87.7	3.814	48.7	1.0
2.94	18.5	9.2	84.0	3.644	47.0	1.0
2.95	18.6	9.1	80.95	3.529	45.0	1.0
2.96	18.2	9.2	79.63	3.433	42.6	1.0
2.97	18.5	9.3	80.0	3.399	41.1	1.0
2.98	17.7	9.5	81.59	3.421	40.0	1.0
2.99	18.5	9.6	83.65	3.479	38.79	1.0
3.00	18.5	9.9	85.7	3.573	38.0	1.0
3.01	18.2	10.1	88.5	3.664	37.45	1.0
3.02	17.9	10.3	91.8	3.745	36.7	0.0
3.03	18.4	10.5	94.15	3.839	35.6	0.0
3.04	18.3	10.7	95.75	3.927	34.5	0.0
3.05	18.6	10.9	96.9	3.988	33.7	0.0
3.06	18.3	11.0	98.86	4.065	33.53	0.0
3.07	18.8	11.1	100.85	4.144	34.2	0.0
3.08	18.4	11.1	101.1	4.165	34.9	0.0
3.09	18.6	10.9	99.9	4.125	35.5	0.0
3.10	18.5	10.8	96.95	4.034	36.15	0.0
3.11	18.5	10.6	93.9	3.883	36.85	0.0
3.12	18.5	10.5	91.5	3.706	37.2	1.0
3.13	18.9	10.4	88.4	3.58	37.25	1.0
3.14	18.5	10.2	85.15	3.494	37.1	1.0
3.15	18.4	10.2	82.95	3.389	36.7	1.0
3.16	18.6	10.1	81.4	3.283	36.2	1.0
3.17	18.4	9.9	80.2	3.215	35.6	1.0
3.18	18.7	9.8	79.2	3.167	34.79	1.0
3.19	18.1	9.8	78.34	3.122	33.45	1.0
3.20	18.4	9.7	77.4	3.044	31.5	1.0
3.21	18.2	9.6	76.5	2.976	30.25	1.0
3.22	18.4	9.6	75.9	2.95	29.3	0.0
3.23	18.3	9.6	75.5	2.934	28.05	0.0
3.24	18.4	9.7	75.15	2.921	26.95	0.0
3.25	18.4	9.7	75.09	2.923	26.3	0.0
3.26	18.2	9.8	75.75	2.94	25.85	0.0
3.27	18.4	9.8	76.65	2.979	25.55	0.0
3.28	18.3	9.9	77.5	3.041	25.55	0.0
3.29	18.3	10.0	78.2	3.095	25.75	0.0
3.30	18.3	10.0	79.15	3.139	26.0	0.0
3.31	18.4	10.1	80.4	3.182	26.1	0.0
3.32	18.1	10.1	80.84	3.21	26.0	0.0
3.33	18.7	10.0	80.84	3.219	26.05	0.0
3.34	18.3	9.9	79.9	3.196	25.9	0.0
3.35	18.5	9.8	78.09	3.12	25.35	0.0
3.36	18.5	9.6	76.3	3.009	24.8	0.0
3.37	18.7	9.4	73.59	2.896	24.5	0.0
3.38	18.5	9.3	70.05	2.789	24.5	0.0
3.39	18.3	9.1	67.4	2.681	24.45	0.0
3.40	18.6	9.0	65.7	2.568	24.0	0.0
3.41	18.6	8.9	64.2	2.48	23.6	0.0
3.42	18.7	8.8	62.8	2.417	23.3	0.0
3.43	18.3	8.7	61.5	2.357	22.8	0.0
3.44	18.5	8.6	60.75	2.293	22.3	0.0
3.45	17.9	8.5	60.23	2.188	21.9	1.0
3.46	18.3	8.4	59.35	2.088	21.95	1.0
3.47	18.3	8.3	59.15	2.015	22.2	1.0
3.48	18.5	8.0	59.0	1.926	22.5	1.0
3.49	18.4	7.9	57.9	1.846	22.85	1.0
3.50	18.8	7.8	55.95	1.78	23.3	1.0
3.51	18.8	7.7	55.1	1.701	23.75	1.0
3.52	18.3	7.6	55.25	1.621	23.95	1.0
3.53	18.2	7.6	55.25	1.569	24.0	1.0
3.54	18.2	7.7	55.3	1.545	24.05	1.0
3.55	18.2	7.8	55.9	1.539	24.4	1.0
3.56	18.7	7.7	57.3	1.573	25.6	1.0
3.57	18.3	7.7	57.95	1.56	26.2	1.0
3.58	18.3	7.7	59.45	1.504	26.25	1.0
3.59	18.2	7.9	66.55	1.481	26.95	1.0
3.60	18.3	7.9	76.95	1.503	27.65	1.0
3.61	18.4	7.9	87.4	1.578	27.35	1.0
3.62	18.1	7.9	105.25	1.633	27.35	1.0
3.63	18.2	7.8	111.65	1.578	29.95	1.0
3.64	18.1	7.7	94.1	1.497	32.79	2.0
3.65	18.3	7.9	84.15	1.465	33.9	2.0
3.66	18.5	7.8	90.13	1.432	39.29	2.0
3.67	18.4	7.8	70.8	1.394	46.7	3.0
3.68	18.3	7.8	73.46	1.39	45.96	3.0
3.69	18.3	7.8	64.5	1.384	48.2	3.0
3.70	18.1	7.8	57.1	1.393	49.0	3.0
3.71	18.6	7.9	65.05	1.402	52.5	3.0
3.72	18.4	7.9	66.15	1.449	55.1	3.0
3.73	18.2	8.2	58.25	1.542	53.55	3.0
3.74	18.2	8.3	56.4	1.652	51.95	3.0
3.75	18.3	8.3	59.35	1.769	52.6	2.0
3.76	18.3	8.2	74.95	1.818	54.25	2.0
3.77	18.5	8.0	98.95	1.788	55.1	3.0
3.78	18.7	7.8	105.6	1.74	53.5	3.0
3.79	18.3	7.7	91.16	1.603	50.63	3.0
3.80	18.1	7.8	80.95	1.465	45.85	3.0
3.81	18.6	7.9	83.4	1.462	42.8	2.0
3.82	18.2	7.8	88.55	1.486	42.65	2.0
3.83	18.0	7.8	99.15	1.464	41.8	2.0
3.84	18.5	8.0	111.15	1.44	39.4	2.0
3.85	17.5	8.1	123.9	1.454	38.2	2.0
3.86	18.1	8.3	133.94	1.479	36.65	2.0
3.87	17.9	8.4	133.75	1.571	34.35	2.0
3.88	18.2	8.5	131.4	1.669	35.5	2.0
3.89	18.4	8.6	132.43	1.65	37.9	2.0
3.90	18.4	8.7	139.1	1.653	37.65	2.0
3.91	18.3	8.7	138.6	1.658	37.65	2.0
3.92	19.0	8.7	132.5	1.6	38.9	2.0
3.93	17.5	8.8	115.55	1.566	38.95	2.0
3.94	17.8	9.0	96.5	1.58	40.75	2.0
